bab_order,bab_label,bab_title,fasl,article_title,article_number,article_number_label,article_number_int,article_text,source_url,searchable_text,text_len,article_status,source_type,source_name,legal_category,document_unit_id,text_for_indexing,normalized_text,rag_usage
1,الباب الأول,التعريفات / الأحكام العامة,الفصل الثاني,المادة الرابعة عشرة:,الرابعة عشرة,14,14,(ملغاة),https://www.hrsd.gov.sa/node/5575978,الباب الأول - التعريفات / الأحكام العامة - الفصل الثاني - المادة الرابعة عشرة: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,33e4a5920ffacf41b6796c8fe9c7cbf0cd46bdd53c537e6a73adad925682957f,المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة الرابعة عشرة: رقم المادة: 14 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الاول - التعريفات / الاحكام العامه الفصل الثاني الماده الرابعه عشره: رقم الماده: 14 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
9,الباب التاسع,تشغيل النساء,,المادة التاسعة والأربعون بعد المائة:,التاسعة والأربعون بعد المائة,149,149,(ملغاة),https://www.hrsd.gov.sa/node/5576027,الباب التاسع - تشغيل النساء - - المادة التاسعة والأربعون بعد المائة: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تشغيل النساء,75770707ab86fa115ff8c8d490eaff11fa828df1b1c46ea18a675cd9932da8ee,المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة التاسعة والأربعون بعد المائة: رقم المادة: 149 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء الماده التاسعه والاربعون بعد المايه: رقم الماده: 149 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
9,الباب التاسع,تشغيل النساء,,المادة الخمسون بعد المائة:,الخمسون بعد المائة,150,150,(ملغاة),https://www.hrsd.gov.sa/node/5576027,الباب التاسع - تشغيل النساء - - المادة الخمسون بعد المائة: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تشغيل النساء,bfdf323bc1474a6bbc1a5b2036331b615fcc8b7421595a520c8f7725a629adf5,المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة الخمسون بعد المائة: رقم المادة: 150 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء الماده الخمسون بعد المايه: رقم الماده: 150 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
9,الباب التاسع,تشغيل النساء,,المادة الثانية والخمسون بعد المائة:,الثانية والخمسون بعد المائة,152,152,(ملغاة),https://www.hrsd.gov.sa/node/5576027,الباب التاسع - تشغيل النساء - - المادة الثانية والخمسون بعد المائة: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تشغيل النساء,621dced8f61609dbf55fc5d9e469455521e4703dbf61620d5a8bec0f14914808,المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة الثانية والخمسون بعد المائة: رقم المادة: 152 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء الماده الثانيه والخمسون بعد المايه: رقم الماده: 152 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
9,الباب التاسع,تشغيل النساء,,المادة السادسة والخمسون بعد المائة:,السادسة والخمسون بعد المائة,156,156,(ملغاة),https://www.hrsd.gov.sa/node/5576027,الباب التاسع - تشغيل النساء - - المادة السادسة والخمسون بعد المائة: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تشغيل النساء,1a944999da2950d17da14a968c341bf5a8451aad71431a12df5eb27fb1796dcb,المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة السادسة والخمسون بعد المائة: رقم المادة: 156 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء الماده السادسه والخمسون بعد المايه: رقم الماده: 156 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
13,الباب الثالث عشر,تفتيش العمل,,المادة الخامسة والتسعون بعد المائة:,الخامسة والتسعون بعد المائة,195,195,(ملغاة),https://www.hrsd.gov.sa/node/5576043,الباب الثالث عشر - تفتيش العمل - - المادة الخامسة والتسعون بعد المائة: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تفتيش العمل,e71406d2b67a25e2b72adbb5cdf92acb3c0eb5ccb647549691da8a80a9ead4ce,المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل المادة الخامسة والتسعون بعد المائة: رقم المادة: 195 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل الماده الخامسه والتسعون بعد المايه: رقم الماده: 195 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
13,الباب الثالث عشر,تفتيش العمل,,المادة السابعة والتسعون بعد المائة:,السابعة والتسعون بعد المائة,197,197,(ملغاة),https://www.hrsd.gov.sa/node/5576043,الباب الثالث عشر - تفتيش العمل - - المادة السابعة والتسعون بعد المائة: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تفتيش العمل,0f5a1a0aaa84640072eed1c34ff2cb920b803a4e4d75b2d8fe255225e85c7e45,المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل المادة السابعة والتسعون بعد المائة: رقم المادة: 197 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل الماده السابعه والتسعون بعد المايه: رقم الماده: 197 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
13,الباب الثالث عشر,تفتيش العمل,,المادة الثالثة بعد المائتين:,الثالثة بعد المائتين,203,203,(ملغاة),https://www.hrsd.gov.sa/node/5576043,الباب الثالث عشر - تفتيش العمل - - المادة الثالثة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تفتيش العمل,7527e9cb07db0641bacb9cf4eefe76f8591ffdf931b918bbe71bceb7ec548921,المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل المادة الثالثة بعد المائتين: رقم المادة: 203 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل الماده الثالثه بعد المايتين: رقم الماده: 203 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
13,الباب الثالث عشر,تفتيش العمل,,المادة الخامسة بعد المائتين:,الخامسة بعد المائتين,205,205,(ملغاة),https://www.hrsd.gov.sa/node/5576043,الباب الثالث عشر - تفتيش العمل - - المادة الخامسة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تفتيش العمل,b6d347c52a62895aef8d17485a0f19258f2c0d78b97fc280e3fd906342b41190,المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل المادة الخامسة بعد المائتين: رقم المادة: 205 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل الماده الخامسه بعد المايتين: رقم الماده: 205 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
13,الباب الثالث عشر,تفتيش العمل,,المادة السادسة بعد المائتين:,السادسة بعد المائتين,206,206,(ملغاة),https://www.hrsd.gov.sa/node/5576043,الباب الثالث عشر - تفتيش العمل - - المادة السادسة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تفتيش العمل,a0f3edceafeb1c28fab820347d4a768cc96a108848bb05544ea7f28988a54a22,المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل المادة السادسة بعد المائتين: رقم المادة: 206 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل الماده السادسه بعد المايتين: رقم الماده: 206 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
13,الباب الثالث عشر,تفتيش العمل,,المادة السابعة بعد المائتين:,السابعة بعد المائتين,207,207,(ملغاة),https://www.hrsd.gov.sa/node/5576043,الباب الثالث عشر - تفتيش العمل - - المادة السابعة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تفتيش العمل,88349239a8e1cced4e1774e1a9d079fe786b86c3fbddd67443430d865ed2287b,المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل المادة السابعة بعد المائتين: رقم المادة: 207 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل الماده السابعه بعد المايتين: رقم الماده: 207 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
13,الباب الثالث عشر,تفتيش العمل,,المادة الثامنة بعد المائتين:,الثامنة بعد المائتين,208,208,(ملغاة),https://www.hrsd.gov.sa/node/5576043,الباب الثالث عشر - تفتيش العمل - - المادة الثامنة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,تفتيش العمل,994cd7eb65bef3ca9ca5cc4c0aeeb4a7fc51f6660394637255d4246cfe22397b,المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل المادة الثامنة بعد المائتين: رقم المادة: 208 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الثالث عشر - تفتيش العمل الماده الثامنه بعد المايتين: رقم الماده: 208 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
14,الباب الرابع عشر,هيئات تسوية الخلافات العمالية,,المادة العاشرة بعد المائتين:,العاشرة بعد المائتين,210,210,(ملغاة),https://www.hrsd.gov.sa/node/5576050,الباب الرابع عشر - هيئات تسوية الخلافات العمالية - - المادة العاشرة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,هيئات تسوية الخلافات العمالية,356aa1d080b96fa13ae7e865b38c2ed3efdba62bf18826e7e14db379a04629d8,المصدر: نظام العمل السعودي الباب الرابع عشر - هيئات تسوية الخلافات العمالية المادة العاشرة بعد المائتين: رقم المادة: 210 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الرابع عشر - هييات تسويه الخلافات العماليه الماده العاشره بعد المايتين: رقم الماده: 210 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
14,الباب الرابع عشر,هيئات تسوية الخلافات العمالية,,المادة الحادية عشرة بعد المائتين:,الحادية عشرة بعد المائتين,211,211,(ملغاة),https://www.hrsd.gov.sa/node/5576050,الباب الرابع عشر - هيئات تسوية الخلافات العمالية - - المادة الحادية عشرة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,هيئات تسوية الخلافات العمالية,bae546e5900a62e2f100a7d91d44b89e09894ca93fc934d923060440fadb2e69,المصدر: نظام العمل السعودي الباب الرابع عشر - هيئات تسوية الخلافات العمالية المادة الحادية عشرة بعد المائتين: رقم المادة: 211 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الرابع عشر - هييات تسويه الخلافات العماليه الماده الحاديه عشره بعد المايتين: رقم الماده: 211 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
14,الباب الرابع عشر,هيئات تسوية الخلافات العمالية,,المادة الثانية عشرة بعد المائتين:,الثانية عشرة بعد المائتين,212,212,(ملغاة),https://www.hrsd.gov.sa/node/5576050,الباب الرابع عشر - هيئات تسوية الخلافات العمالية - - المادة الثانية عشرة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,هيئات تسوية الخلافات العمالية,03ee91072dd2709db495e484d3fcc8798752b17d8851f6ece9d8d832f39effde,المصدر: نظام العمل السعودي الباب الرابع عشر - هيئات تسوية الخلافات العمالية المادة الثانية عشرة بعد المائتين: رقم المادة: 212 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الرابع عشر - هييات تسويه الخلافات العماليه الماده الثانيه عشره بعد المايتين: رقم الماده: 212 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
14,الباب الرابع عشر,هيئات تسوية الخلافات العمالية,,المادة الثالثة عشرة بعد المائتين:,الثالثة عشرة بعد المائتين,213,213,(ملغاة),https://www.hrsd.gov.sa/node/5576050,الباب الرابع عشر - هيئات تسوية الخلافات العمالية - - المادة الثالثة عشرة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,هيئات تسوية الخلافات العمالية,3f3dde7ef98765cbc491be2b6086003f4f6b1753145d19cde926c544666dd77a,المصدر: نظام العمل السعودي الباب الرابع عشر - هيئات تسوية الخلافات العمالية المادة الثالثة عشرة بعد المائتين: رقم المادة: 213 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الرابع عشر - هييات تسويه الخلافات العماليه الماده الثالثه عشره بعد المايتين: رقم الماده: 213 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
14,الباب الرابع عشر,هيئات تسوية الخلافات العمالية,,المادة الرابعة عشرة بعد المائتين:,الرابعة عشرة بعد المائتين,214,214,(ملغاة),https://www.hrsd.gov.sa/node/5576050,الباب الرابع عشر - هيئات تسوية الخلافات العمالية - - المادة الرابعة عشرة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,هيئات تسوية الخلافات العمالية,1d8cc7f3000b2d9e1c126ca5b9ae9080080fd2c80a273aea2ec98792c4c13605,المصدر: نظام العمل السعودي الباب الرابع عشر - هيئات تسوية الخلافات العمالية المادة الرابعة عشرة بعد المائتين: رقم المادة: 214 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الرابع عشر - هييات تسويه الخلافات العماليه الماده الرابعه عشره بعد المايتين: رقم الماده: 214 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
14,الباب الرابع عشر,هيئات تسوية الخلافات العمالية,,المادة الخامسة عشرة بعد المائتين:,الخامسة عشرة بعد المائتين,215,215,(ملغاة),https://www.hrsd.gov.sa/node/5576050,الباب الرابع عشر - هيئات تسوية الخلافات العمالية - - المادة الخامسة عشرة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,هيئات تسوية الخلافات العمالية,113d237a2e8926ecb60a0ec70022cec30027136cdc0b2683b6a81330ba9e83cb,المصدر: نظام العمل السعودي الباب الرابع عشر - هيئات تسوية الخلافات العمالية المادة الخامسة عشرة بعد المائتين: رقم المادة: 215 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الرابع عشر - هييات تسويه الخلافات العماليه الماده الخامسه عشره بعد المايتين: رقم الماده: 215 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
14,الباب الرابع عشر,هيئات تسوية الخلافات العمالية,,المادة السادسة عشرة بعد المائتين:,السادسة عشرة بعد المائتين,216,216,(ملغاة),https://www.hrsd.gov.sa/node/5576050,الباب الرابع عشر - هيئات تسوية الخلافات العمالية - - المادة السادسة عشرة بعد المائتين: - (ملغاة),7,repealed,legal_article,نظام العمل السعودي,هيئات تسوية الخلافات العمالية,a47a5a232bf453d8584b3eefdefb249e31090c13e320b4c762b7d75eeca87641,المصدر: نظام العمل السعودي الباب الرابع عشر - هيئات تسوية الخلافات العمالية المادة السادسة عشرة بعد المائتين: رقم المادة: 216 حالة المادة: repealed النص: (ملغاة),المصدر: نظام العمل السعودي الباب الرابع عشر - هييات تسويه الخلافات العماليه الماده السادسه عشره بعد المايتين: رقم الماده: 216 حاله الماده: repealed النص: (ملغاه),archive_only_not_indexed
