eval_id,question,expected_answer_preview,top1_source_type,top1_article_number,top1_chunk_id,top1_score,token_overlap_score,char_ngram_similarity,faq_support_score,support_label,latency_sec,top_context_preview
1,هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندًا تنفيذيًا؟,يحق لصاحب العمل الاعتراض على طلب التنفيذ عن طريق منصة ( ناجز )، حيث يتم إشعار صاحب العمل بطلب التنفيذ ويتم إعطاءه (5) أيام للاعتراض أو السداد.,faq,,FIXED_000216,1.0,0.45,0.38674836830488174,0.45,Strong,0.8827915191650391,نوع المصدر: سؤال شائع السؤال: متى يمكن للعامل التنفيذ على صاحب العمل في حال عدم التزامه بدفع الأجر لعقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: في حال عدم السداد لكامل الاجر سيُمكن العامل من التنفيذ على صاحب العمل بعد مرور...
2,كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الأجر في عقد العمل الموثق سندًا تنفيذيًا؟,يتم وفق التالي: الدخول على منصة ناجز التابعة لوزارة العدل. الدخول على منصة ناجز التابعة لوزارة العدل. عن طريق خيار التنفيذ (تقديم طلب تنفيذ). عن طريق خيار التنف...,faq,,FIXED_000216,1.0,0.3684210526315789,0.32736128858023705,0.3684210526315789,Strong,0.5127215385437012,نوع المصدر: سؤال شائع السؤال: متى يمكن للعامل التنفيذ على صاحب العمل في حال عدم التزامه بدفع الأجر لعقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: في حال عدم السداد لكامل الاجر سيُمكن العامل من التنفيذ على صاحب العمل بعد مرور...
3,ماهو بند العقد الخاضع للتنفيذ لعقد العمل الموثق سندًا تنفيذيًا؟,البند الخاضع للتنفيذ هو بند الأجر ويشمل ما يلي: الأجر الأساسي. بدل السكن حال وجوده. بدل النقل حال وجوده. إجمالي بدلات نقدية أخرى حال وجودها.,faq,,FIXED_000215,1.0,0.1111111111111111,0.24505042832177415,0.24505042832177415,Moderate,0.491180419921875,نوع المصدر: سؤال شائع السؤال: كيف يتم التحقق من استلام العامل للأجر الذي سيتم التنفيذ عليه في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يتم التحقق إلكترونيا وفق بيانات برنامج حماية الأجور ( منصة مدد ) والذي يوثق دفع أجور...
4,ماهي مراحل التطبيق على العقود الموثقة لعقد العمل الموثق سندًا تنفيذيًا؟,سيتم تطبيق نموذج عقد العمل الموحد الجديد (سند تنفيذي) بمنصة قوى على ثلاث مراحل: المرحلة الأولى: تشمل العقود الجديدة (العلاقة التعاقدية الجديدة) أو في حال التحدي...,faq,,FIXED_000217,1.0,0.3684210526315789,0.47986196038246515,0.47986196038246515,Strong,0.5022234916687012,نوع المصدر: سؤال شائع السؤال: كيفية توثيق عقد العمل على نموذج عقد العمل الجديد (التنفيذي)؟ الإجابة: يتم التوثيق عبر منصة ( قوى ) حيث تتقدم المنشأة بطلب توثيق العقد أو تحديث العقود القائمة. يتم التوثيق عبر منصة ( قوى ) حي...
5,ماهي متطلبات الاستفادة من مبادرة عقد العمل الموثق سندًا تنفيذيًا؟,وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي أن يكون لعقد العمل رقم تنفيذ عبر مركز التو...,faq,,FIXED_000217,1.0,0.56,0.4883356978120391,0.56,Strong,0.5084671974182129,نوع المصدر: سؤال شائع السؤال: كيفية توثيق عقد العمل على نموذج عقد العمل الجديد (التنفيذي)؟ الإجابة: يتم التوثيق عبر منصة ( قوى ) حيث تتقدم المنشأة بطلب توثيق العقد أو تحديث العقود القائمة. يتم التوثيق عبر منصة ( قوى ) حي...
6,ما هي الجهة المشرعة لبرنامج حماية الأجور؟,وزارة الموارد البشرية والتنمية الاجتماعية.,faq,,FIXED_000221,1.0,1.0,0.5161919763428052,1.0,Strong,0.499845027923584,نوع المصدر: سؤال شائع السؤال: ما هو نظام حماية الأجور؟ الإجابة: هو برنامج أطلقته وزارة الموارد البشرية والتنمية الاجتماعية عام ٢٠١٣ يمكّن المنشآت من رفع ملفات أجور العاملين فيها ويعمل على رصد نسب الالتزام والمخالفات ومعا...
7,ما هي أهداف برنامج حماية الأجور؟,تحسين العلاقة التعاقدية بين صاحب العمل والعامل، وضمان حقوق العمال والموظفين ودفع رواتبهم وفقاً للشروط المتفق عليها في عقد العمل.,faq,,FIXED_000221,1.0,0.3333333333333333,0.36172698022938105,0.36172698022938105,Strong,0.49672770500183105,نوع المصدر: سؤال شائع السؤال: ما هو نظام حماية الأجور؟ الإجابة: هو برنامج أطلقته وزارة الموارد البشرية والتنمية الاجتماعية عام ٢٠١٣ يمكّن المنشآت من رفع ملفات أجور العاملين فيها ويعمل على رصد نسب الالتزام والمخالفات ومعا...
8,ما هو تاريخ بداية العقد لمن أكمل 5 سنوات وكيف تحسب فترة الخدمة السابقة لتسجيل العقد؟,يجب إدخال تاريخ المباشرة كما هو مذكور في أول عقد للموظف مع المنشأة.,legal_article,84,FIXED_000086,1.0,0.3,0.13567844070969512,0.3,Moderate,0.5049448013305664,نوع المصدر: مادة قانونية اسم المصدر: نظام العمل السعودي التصنيف القانوني: علاقات العمل الباب: علاقات العمل الفصل: الفصل الرابع رقم المادة: 84 عنوان المادة: المادة الرابعة والثمانون: حالة المادة: فعالة النص: المصدر: نظام ...
9,كيف يرسل العقد للموظف؟,يرسل طلب توثيق العقد إلى حساب الموظف الخاص بالأفراد في منصة قوى ، وسوف يتم إشعار الموظف برسالة نصية و بريد إلكتروني،و من ثم عليه الذهاب إلى العقود الوظيفية لمرا...,faq,,FIXED_000224,1.0,0.32727272727272727,0.5452493443378771,0.5452493443378771,Strong,0.4941885471343994,نوع المصدر: سؤال شائع السؤال: هل يمكنني تعديل أو سحب العقد بعد الإرسال للموظف؟ الإجابة: يمكن طلب سحب العقد بغرض التعديل إذا كانت حالة العقد (بانتظار موافقة الموظف) وإعادة إرساله للموظف من جديد للموافقة على التعديلات عن ط...
10,هل تمكن البوابة والانظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها,نعم تمكن البوابة والأنظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها وقد تم توضيح ذلك من خلال الدليل العام للمنصات دليل مستخدم قوى دليل مستخدم م...,faq,,FIXED_000231,1.0,0.9230769230769231,0.6964139910243359,0.9230769230769231,Strong,0.4930453300476074,نوع المصدر: سؤال شائع السؤال: هل تمكن البوابة والانظمة التابعة لها المستخدم من تعديل بياناته. الإجابة: نعم تمكن البوابة والأنظمة التابعة لها المستفيد من تعديل بياناته وقد تم توضيح ذلك من خلال الدليل العام للمنصات دليل مس...
11,هل تمكن البوابة والانظمة التابعة لها المستخدم من الوصول إلى البيانات الشخصية؟,نعم تمكن البوابة والأنظمة التابعة لها المستفيد من الوصول إلى البيانات الشخصية وقد تم توضيح ذلك من خلال الدليل العام للمنصات دليل مستخدم قوى دليل مستخدم مساند دل...,faq,,FIXED_000222,1.0,1.0,0.7468033211474003,1.0,Strong,0.4186234474182129,نوع المصدر: سؤال شائع السؤال: هل يتم إضافة البيانات التي تملكها الوزارة في الأصل للحقول المناسبة دون الحاجة الى إدخالها من المستخدم (إعادة استخدام البيانات) ؟ الإجابة: يتم تطبيق مبدأ إعادة استخدام البيانات حيث تمكن البوا...
12,هل جميع السلالم ممكنة للجهات الحكومية؟,سلم الموظفين العام للمرتبة العاشرة فما دون,faq,,FIXED_000442,1.0,0.42857142857142855,0.26286747125616466,0.42857142857142855,Strong,0.4122812747955322,نوع المصدر: سؤال شائع السؤال: مدى شمول قرار مجلس الخدمة المدنية رقم (1/1811) وتاريخ 28/2/1435هـ لجميع سلالم الرواتب الوظيفية المعادلة لسلم رواتب الموظفين العام؟ الإجابة: وفقاً لنص الفقرة (أولاً) من قراري مجلس الخدمة المد...
13,ماهي خدمة نقل العمل برقم الحدود,خدمة تمكّن المنشآت من إصدار رخصة عمل استثنائية محدودة فقط؛ لغرض نقل خدمة وافد تجاوزت فترة دخوله المملكة ٩٠ يوماً دون أن يتم إصدار رخصة عمل له.,faq,,FIXED_000379,1.0,0.3157894736842105,0.19840561022787298,0.3157894736842105,Moderate,0.45328235626220703,نوع المصدر: سؤال شائع السؤال: ماهي خدمة التنقل الوظيفي؟ الإجابة: هي خدمة تتيح للعامل الوافد الانتقال للعمل عند صاحب عملٍ آخر عند انتهاء عقد عمله دون الحاجة لموافقة صاحب العمل، وتحدد آليات الانتقال خلال سريان العقد بشرط ا...
14,هل يضمن مكتب شركة الاستقدام أهلية العمالة التي يتم اختيارهم من قبل صاحب العمل بنفسه (معين باسم)؟,يضمن مكتب/شركة الاستقدام العمالة الذين يختارهم صاحب العمل بنفسه (معين باسم) 3 شهور فترة ضمان العامل/ـة بناءً على العقد المبرم بين الطرفين.,faq,,FIXED_000346,1.0,0.6818181818181818,0.4722008991100785,0.6818181818181818,Strong,0.5150601863861084,نوع المصدر: سؤال شائع السؤال: من هو المسؤول عن دفع قيمة قسط التأمين على عقد العمالة المنزلية؟ الإجابة: تدفع قيمة التقسيط ضمن تكاليف الاستقدام؛ حيث تقوم مكاتب الاستقدام وشركات الاستقدام التي تتوسط في استقدام العمالة المنز...
15,هل يمكنني تغيير مهنة الموظف الوافد إلى مهنة خاضعة لقرارات التوطين؟,لا يمكن ذلك,faq,,FIXED_000361,1.0,1.0,0.04518830055741464,1.0,Strong,0.3709139823913574,نوع المصدر: سؤال شائع السؤال: هل يمكن تعديل المهنة بعد تطبيق المبادرة؟ الإجابة: لا يوجد تعديل على إجراءات تعديل المهنة المتبعة حالياً. التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض ...
16,هل يمكن تغيير المهنة في التأشيرة بعد إصدارها؟,يمكن تغيير المهنة للموظف بعد القدوم أو إلغاء التأشيرة وإعادة إصدارها باختيار المهنة المطلوبة,faq,,FIXED_000361,1.0,0.4166666666666667,0.3285807467044836,0.4166666666666667,Strong,0.49842023849487305,نوع المصدر: سؤال شائع السؤال: هل يمكن تعديل المهنة بعد تطبيق المبادرة؟ الإجابة: لا يوجد تعديل على إجراءات تعديل المهنة المتبعة حالياً. التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض ...
17,ماذا لو كانت نتائج التقييم الذاتي للمنشأة غير جيّدة؟,الهدف من مرحلة التقييم الذاتي أن تتعرّف المنشأة على نسبة امتثالها لأنظمة العمل ثمّ العمل على تصحيح الأخطاء والمخالفات، ولن يترتب على المنشأة أي غرامات مالية في ...,faq,,FIXED_000246,1.0,0.55,0.5113274687554029,0.55,Strong,0.4912707805633545,نوع المصدر: سؤال شائع السؤال: لماذا يتوجب على المنشأة القيام بالتقيّيم الذاتي؟ الإجابة: التقييم الذاتي يساعد المنشأة على التعرّف بأنظمة وقوانين وزارة الموارد البشرية والتنمية الاجتماعية وتصحيح الأخطاء ذاتيًّا مما يحميها ...
18,ما هي منصة التقييم الذاتي؟,هي منصة تهدف إلى تحقيق أعلى درجات الامتثال لأنظمة وزارة الموارد البشرية والتنمية الاجتماعية من خلال حلقةٍ متكاملة تبدأ بتقييم المنشأة لنفسها ذاتيًّا والعمل على ...,faq,,FIXED_000246,1.0,0.4827586206896552,0.5069922363678362,0.5069922363678362,Strong,0.4993462562561035,نوع المصدر: سؤال شائع السؤال: لماذا يتوجب على المنشأة القيام بالتقيّيم الذاتي؟ الإجابة: التقييم الذاتي يساعد المنشأة على التعرّف بأنظمة وقوانين وزارة الموارد البشرية والتنمية الاجتماعية وتصحيح الأخطاء ذاتيًّا مما يحميها ...
19,هل هنالك مؤهلات محدده للانضمام للبرنامج؟,لا يوجد مؤهلات محددة في العمل عن بعد، لكن على حسب متطلبات كل شركة تحدد المؤهل المطلوب للوظائف المعروضة,faq,,FIXED_000272,1.0,0.13333333333333333,0.23567914489599293,0.23567914489599293,Moderate,0.4137747287750244,نوع المصدر: سؤال شائع السؤال: ما هي الفئات التي يمكنها الانضمام لبرنامج العمل عن بعد؟ الإجابة: برنامج العمل عن بعد متاح لجميع الفئات من الإناث والذكور وذوي الإعاقة. التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار ال...
20,"ما هي معايير الحصول على شهادة ""مواءمة""؟","يشترط للحصول على شهادة ""مواءمة"" توفر ثمانية معايير لدى المنشأة وهي: الالتزام، والمعرفة، والتوظيف، وإدارة الموارد البشرية، والمنتجات والخدمات، والتواصل، والمرافق...",faq,,FIXED_000257,1.0,0.20833333333333334,0.25683892416758086,0.25683892416758086,Moderate,0.5162055492401123,"نوع المصدر: سؤال شائع السؤال: ما هو تصنيف الشهادات في برنامج ""مواءمة""؟ الإجابة: يعتمد منح شهادة ""مواءمة"" على الدرجة التي حصلت عليها المنشأة بعد عملية التدقيق من المدقق المعتمد، وفيما يلي أنواع الشهادات: المرتبة الذهبية: ..."
21,"ما هي الجهات المستفيدة من برنامج ""مواءمة""؟",جميع منشآت القطاع الخاص بمختلف النشاطات.,faq,,FIXED_000259,1.0,0.3333333333333333,0.22127523841214777,0.3333333333333333,Moderate,0.4106101989746094,"نوع المصدر: سؤال شائع السؤال: لماذا توجد رسوم مالية على برنامج ""مواءمة""؟ وهل تعود لوزارة الموارد البشرية والتنمية الاجتماعية؟ الإجابة: انطلاقًا من مبدأ الشراكة مع القطاع الخاص، فإن وزارة الموراد البشرية تتعامل مع رسوم ال..."
22,"لماذا أشارك في برنامج ""مواءمة""؟","صمّم برنامج ""مواءمة"" لدعم زيادة مشاركة الأشخاص ذوي الإعاقة في سوق العمل السعودي، بالإضافة إلى تشجيع المنشآت العملاقة والكبيرة للحصول على الشهادة حسب القرار الوز...",faq,,FIXED_000259,1.0,0.47368421052631576,0.5327443577127221,0.5327443577127221,Strong,0.4062807559967041,"نوع المصدر: سؤال شائع السؤال: لماذا توجد رسوم مالية على برنامج ""مواءمة""؟ وهل تعود لوزارة الموارد البشرية والتنمية الاجتماعية؟ الإجابة: انطلاقًا من مبدأ الشراكة مع القطاع الخاص، فإن وزارة الموراد البشرية تتعامل مع رسوم ال..."
23,هل يمكن إلغاء رخصة العمل ؟,لا يمكن إلغاء رخصة العمل بعد إصدارها أو تجديدها.,faq,,FIXED_000242,1.0,0.5714285714285714,0.25871753288101423,0.5714285714285714,Strong,0.4753696918487549,نوع المصدر: سؤال شائع السؤال: هل يمكن إلغاء التأشيرة المصدرة من مساند؟ الإجابة: نعم يمكنك إلغاء التأشيرة من خلال حساب مقدم الطلب لدى مساند: التأشيرات المصدرة - اختيار التأشيرة المراد إلغاؤها - إلغاء التأشيرة. التصنيف: أص...
24,متى يُلزم الموظف بإصدار رخصة العمل؟,يجب على المنشأة إصدار رخصة العمل للموظف الوافد خلال أول 90 يوم بعد دخوله للمملكة.,faq,,FIXED_000269,1.0,0.5714285714285714,0.2804413920831489,0.5714285714285714,Strong,0.4960622787475586,نوع المصدر: سؤال شائع السؤال: متى يتاح تجديد رخصة العمل؟ الإجابة: يسمح للمنشأة بتجديد رخصة العمل في حال تبقي 180 يوم أو أقل على انتهاء صلاحيتها. التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مر...
25,هل يجب إبلاغ أو مرجعة أو تسليم قائمة العمال السعوديين إلى وزارة الموارد البشرية بعد تسجيلهم بالتأمينات؟,لا غير مطلوب منك ذلك حيث سيتم قراءتها آليا من قبل برنامج نطاقات.,faq,,FIXED_000283,1.0,0.2727272727272727,0.08100603719412602,0.2727272727272727,Moderate,0.5018784999847412,نوع المصدر: سؤال شائع السؤال: كيف يمكن التأكد من أن نطاق المنشأة يعكس النطاق الحقيقي الذي تستحقه؟ الإجابة: على المنشآت إتباع الخطوات التالية لتعديل بياناتهم والحصول على التقييم الحقيقي: التأكد من تطابق رقم المنشأة في الا...
26,سبب اختلاف عدد العمال السعوديين الظاهرين لدى الموارد البشرية عن العدد الفعلي لدي؟,أعداد السعوديين في الوزارة هو مطابق لما في التأمينات بعد تحديث بيانات المنشأة، لذلك يلزمك سداد جميع مبالغ اشتراكات العمال للتأمينات اما نسبة السعودة فهي مرتبطة ...,faq,,FIXED_000283,1.0,0.4,0.4336363149219926,0.4336363149219926,Strong,0.4845609664916992,نوع المصدر: سؤال شائع السؤال: كيف يمكن التأكد من أن نطاق المنشأة يعكس النطاق الحقيقي الذي تستحقه؟ الإجابة: على المنشآت إتباع الخطوات التالية لتعديل بياناتهم والحصول على التقييم الحقيقي: التأكد من تطابق رقم المنشأة في الا...
27,هل يتم احتساب الفرد الذي يعمل لدى أكثر من منشأة في نفس الوقت ضمن نسبة التوطين؟,لن يتم احتساب المشترك الذي يعمل في نفس الوقت إلا لدى صاحب العمل الأول الذي سجل عنده وذلك حسب متطلبات وزارة الموارد البشرية والتنمية الاجتماعية.,faq,,FIXED_000283,1.0,0.6818181818181818,0.46897241183061045,0.6818181818181818,Strong,0.5127577781677246,نوع المصدر: سؤال شائع السؤال: كيف يمكن التأكد من أن نطاق المنشأة يعكس النطاق الحقيقي الذي تستحقه؟ الإجابة: على المنشآت إتباع الخطوات التالية لتعديل بياناتهم والحصول على التقييم الحقيقي: التأكد من تطابق رقم المنشأة في الا...
28,كيف يحسب الخليجي في نسب التوطين؟,يحسب العامل الخليجي كسعودي واحد في نسب التوطين,faq,,FIXED_000332,1.0,0.42857142857142855,0.2925588029760009,0.42857142857142855,Strong,0.48399782180786133,نوع المصدر: سؤال شائع السؤال: ماهي آلية احتساب نسب التوطين بعد تطبيق نطاقات المطور؟ الإجابة: يتم احتساب نسب التوطين عن طريق تطبيق المعادلة المذكورة في الدليل الإجرائي، ولمعرفة قيم مدخلات المعادلة يرجى الاطلاع على ملحق ال...
29,كيف يحسب الوافد وزوجته سعودية أو الوافدة وزوجها سعودي؟,يحسب الوافد الوافدة وزوجته زوجها سعودية سعودي كسعودي إذا كان كانت على كفالة زوجته زوجها وفي حالة نقل كفالته كفالتها على المنشأة يحسب كوافد أجنبي,legal_article,7,FIXED_000008,1.0,0.18181818181818182,0.1478484979227062,0.18181818181818182,Weak,0.4784057140350342,نوع المصدر: مادة قانونية اسم المصدر: نظام العمل السعودي التصنيف القانوني: التعريفات / الأحكام العامة الباب: التعريفات / الأحكام العامة الفصل: الفصل الثاني رقم المادة: 7 عنوان المادة: المادة السابعة : حالة المادة: فعالة ا...
30,كيف يتم احتساب من سبق ونفذ بحقه عقوبة سجن؟,يحسب السعودي بسعوديين 2 في أول منشأة التحق بها بعد تنفيذ الحكم وحتى يصبح سجله خالياً، ويتطلب من صاحب العمل تسجيله في مكتب التأمينات الاجتماعية.,faq,,FIXED_000413,1.0,0.38095238095238093,0.4079369820557552,0.4079369820557552,Strong,0.48291873931884766,نوع المصدر: سؤال شائع السؤال: موظف كفت يده عن العمل على أثر سجنه ثم أفرج عنه وباشر عمله وتمت مساءلته على إثر ذلك تأديبياً حيث حكم عليه بالفصل وكان أثناء فترة كف اليد لا تصرف له أنصاف الرواتب، ما مدى استحقاقه لأنصاف الروا...
31,هل يحدد برنامج نطاقات العائد المادي؟,إن برنامج نطاقات يتعامل مع تحدي البطالة من منطلق عام يتعلق بتحديد النسب الملزمة للتوطين في كافة منشآت القطاع الخاص ثم يأتي برنامج حافز لإعانة الباحثين عن العمل ...,faq,,FIXED_000281,1.0,0.26229508196721313,0.5201739986208103,0.5201739986208103,Strong,0.506279468536377,نوع المصدر: سؤال شائع السؤال: ما هو برنامج نطاقات؟ وكيف يحسن بيئة العمل للسعوديين؟ الإجابة: يأتي برنامج نطاقات كمعيار جديد لتحفيز المنشآت على توطين الوظائف، تقوم الوزارة مستخدمةً آلية حساب التوطين بتصنيف الكيانات داخل كل...
32,ما هي الخطوات المتبعة عند تغيب عامل الخدمة المنزلية؟,عند ترك عامل الخدمة المنزلية العمل، على صاحب العمل أن يبلغ أقرب مركز شرطة لمقر منزله، وعلى مركز الشرطة المبلغ القيام بالآتي: إبلاغ إدارة الجوازات بهرب العامل لا...,faq,,FIXED_000284,1.0,0.3191489361702128,0.5858069749039101,0.5858069749039101,Strong,0.5041728019714355,نوع المصدر: سؤال شائع السؤال: ما هو العمل الذي لا يمكن تكليف العمالة المنزلية به؟ الإجابة: يلتزم صاحب العمل بالآتي: 1 - ألاَّ يكلف عامل الخدمة المنزلية بغير العمل المتفق عليه، إلا في حالات الضرورة، بشرط ألا يختلف العمل ا...
