question,gold_article,norag_citation_correct,norag_cited_any_wrong,rag_citation_correct,rag_cited_any_wrong,norag_answer,rag_answer
هل يستحق العامل إجازة عند الزواج أو وفاة أحد الأقارب؟,113,0,0,0,0,نعم، يستحق العامل إجازة عند الزواج أو عند وفاة أحد الأقارب حتى الدرجة الرابعة، وذلك وفقًا للمادة 112 من نظام العمل السعودي.,الإجابة: نعم، يستحق العامل إجازة في الحالتين المذكورتين، وذلك وفقا للمادة 113 من نظام العمل السعودي.
هل يحق لصاحب العمل نقل العامل من مكان عمله الأصلي؟,58,0,0,0,0,نعم، يحق لصاحب العمل نقل العامل من مكان عمله الأصلي إلى مكان آخر داخل المنشأة إذا كان ذلك في مصلحة العمل، وذلك وفقًا للمادة 57 من نظام العمل السعودي.,لا يجوز لصاحب العمل أن ينقل العامل بغير موافقته - كتابةً - من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل إقامته، وذلك وفقًا للمادة 58 من نظام العمل السعودي.
كم مدة فترة التجربة في نظام العمل السعودي؟,53,0,0,1,0,مدة فترة التجربة في نظام العمل السعودي هي 90 يومًا وفقًا للمادة 52 من نظام العمل.,مدة فترة التجربة في نظام العمل السعودي هي تسعين يوماً (المادة 53).
كيف يتم دفع أجر العامل؟,90,0,0,0,0,يتم دفع أجر العامل وفقًا للمادة 61 من نظام العمل السعودي.,الإجابة: يجب دفع أجر العامل بالعملة الرسمية للبلاد وفقًا للأحكام المذكورة في المادة التسعين من نظام العمل السعودي.
ما مدة الإشعار عند إنهاء العقد غير محدد المدة؟,75,0,0,0,0,مدة الإشعار عند إنهاء العقد غير محدد المدة هي 60 يومًا إذا كان العامل معينًا على وظيفة إشرافية، و30 يومًا إذا كان العامل معينًا على وظيفة غير إشرافية، وذلك وفقًا للمادة 74 من نظام العمل السعودي.,"مدة الإشعار عند إنهاء العقد غير محدد المدة هي كما يلي:
- إذا كان العقد غير محدد المدة وكان الأجر يدفع شهريًّا، يجب توجيه إشعار كتابي قبل ثلاثين يومًا على الأقل من تاريخ الإنهاء.
- إذا كان العقد غير محدد المدة وكان الأجر لا يدفع شهريًّا، يجب توجيه إشعار كتابي قبل ثلاثين يومًا على الأقل من تاريخ الإنهاء. 

هذه المدة نصت عليها المادة الخامسة والسبعون من نظام العمل السعودي."
هل للعامل الحق في إجازة مرضية؟,117,1,0,0,0,نعم، للعامل الحق في إجازة مرضية وفقًا لأحكام المادة 117 من نظام العمل.,نعم، للعامل الذي يثبت مرضه الحق في إجازة مرضية، وذلك وفقًا للمادة رقم 117 من نظام العمل السعودي.
متى يجوز لصاحب العمل إنهاء العقد دون مكافأة أو تعويض؟,80,1,0,0,0,يجوز لصاحب العمل إنهاء العقد دون مكافأة أو تعويض في حال وجود مخالفة من العامل تؤدي إلى فصله بموجب المادة 80 من نظام العمل السعودي.,يجوز لصاحب العمل إنهاء العقد دون سبق إعلان وبغير تعويض إذا ألغيت الرحلة قبل بدئها بسبب ليس لمجهز السفينة إرادة فيه، وكان الأجر على أساس الرحلة الواحدة، ما لم ينص في العقد على غير ذلك، وذلك بحسب ما نصت عليه المادة (182) من نظام العمل السعودي.
هل يجوز وضع العامل تحت التجربة أكثر من مرة لدى نفس صاحب العمل؟,54,0,0,0,0,لا يجوز وضع العامل تحت التجربة أكثر من مرة واحدة لدى صاحب العمل نفسه، وذلك وفقًا للمادة 109 من نظام العمل السعودي.,لا، لا يجوز وضع العامل تحت التجربة أكثر من مرة واحدة لدى صاحب عمل واحد، وذلك وفقاً للمادة 54 من نظام العمل السعودي.
ما الحد الأقصى لساعات العمل الإضافية وكيف تُحتسب؟,107,1,0,0,0,الحد الأقصى لساعات العمل الإضافية هو 7 ساعات يوميًّا أو 35 ساعة أسبوعيًّا، وتُحتسب وفقًا لما نصت عليه المادة 107 من نظام العمل السعودي.,"الإجابة: لا يجوز أن تزيد ساعات العمل الإضافية خلال السنة على 720 ساعة، ويجوز بموافقة العامل زيادة عدد الساعات الإضافية عن ذلك.

المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية

السؤال: ما هو أقصى حد لساعات العمل الإضافية خلال العام؟

الإجابة: لا يجوز أن تزيد ساعات العمل الإضافية خلال السنة على 720 ساعة، ويجوز بموافقة العامل زيادة عدد الساعات الإضافية عن ذلك.

المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية"
ما مدة الإجازة السنوية المستحقة للعامل؟,109,1,0,1,0,يستحق العامل عن كل عام إجازة سنوية مدتها 21 يومًا، وقد تصل إلى 30 يومًا إذا مضى العامل في خدمة صاحب العمل 5 سنوات متصلة. المادة 109 من نظام العمل السعودي.,يستحق العامل عن كل عام إجازة سنوية لا تقل مدتها عن واحد وعشرين يومًا، تُزاد إلى مدة لا تقل عن ثلاثين يومًا إذا أمضى العامل في خدمة صاحب العمل خمس سنوات متصلة، وتكون الإجازة بأجر يدفع مقدمًا. المادة 109
ما الحد الأقصى لساعات العمل اليومية في نظام العمل؟,98,0,0,0,0,الحد الأقصى لساعات العمل اليومية في نظام العمل السعودي هو 8 ساعات يوميًا، وفقًا للمادة 62 من نظام العمل.,الإجابة: الحد الأقصى لساعات العمل اليومية هو تسع ساعات، كما يجوز تخفيضها إلى سبع ساعات لبعض فئات العمال أو في بعض الصناعات والأعمال الخطرة أو الضارة، وذلك وفقًا للمادة رقم 99 من نظام العمل السعودي.
متى يستحق العامل تعويضًا عند إنهاء العقد لسبب غير مشروع؟,77,0,0,0,0,يستحق العامل تعويضًا عند إنهاء العقد لسبب غير مشروع إذا كان الإنهاء قبل انتهاء مدة العقد أو قبل تنفيذ التزام على صاحب العمل، وذلك وفقًا للمادة 77 من نظام العمل السعودي.,يستحق العامل تعويضًا عند إنهاء العقد لسبب غير مشروع وفقًا للمادة 77 من نظام العمل السعودي.
متى يستحق العامل مكافأة نهاية الخدمة؟,84,0,0,0,0,يستحق العامل مكافأة نهاية الخدمة في حال انتهاء علاقة العمل، وذلك وفقًا للمادة 25 من نظام العمل السعودي.,الإجابة: يستحق العامل مكافأة نهاية الخدمة عند انتهاء علاقة العمل، وذلك وفقاً للمادة (84) من نظام العمل السعودي.
ما الحد الأقصى لساعات العمل الأسبوعية؟,98,0,0,0,0,الحد الأقصى لساعات العمل الأسبوعية هي 48 ساعة، وفقاً للمادة 201 من نظام العمل السعودي.,"لا يجوز أن تزيد ساعات العمل الأسبوعية على 48 ساعة، وما زاد على ذلك يحسب عملًا إضافيًا. 

المصدر: نظام العمل السعودي
التصنيف القانوني: شروط العمل وظروفه
الباب: شروط العمل وظروفه
الفصل: الفصل الثالث
رقم المادة: غير مذكور صراحة في النص المسترجع"
هل تختلف ساعات العمل في شهر رمضان؟,98,0,0,0,0,نعم تختلف ساعات العمل في شهر رمضان عن باقي أشهر السنة، حيث تُخفّض ساعات العمل بمقدار ساعة لكل يوم عمل، وذلك وفقًا للمادة 149 من نظام العمل السعودي.,نعم، تختلف ساعات العمل في شهر رمضان، حيث لا تزيد على 6 ساعات في اليوم، أو 36 ساعة في الأسبوع، وفقًا للمادة رقم 98 من نظام العمل السعودي.
ما أحكام السلامة والصحة المهنية في بيئة العمل؟,121,0,1,1,0,"المادة 172 من نظام العمل السعودي تنص على أن ""يجب على صاحب العمل أن يتخذ الاحتياطات اللازمة للوقاية من الأمراض المهنية والإصابات المهنية في المنشآت، وعليه أن يوفر لموظفيه وسائل الحماية اللازمة مثل: القفازات، والأقنعة، والأحذية الواقية، وغيرها، وأن يُلزمهم باستعمالها ويلتزم صاحب العمل في الوقت نفسه بأن يُخطر الجهات الصحية المختصة بحالات الإصابة المهنية التي وقعت لديه، وبأسماء الموظفين الذين أصيبوا في العمل، وبأسماء الموظفين الذين تم علاجهم، وبأسماء الموظفين الذين تم نقلهم إلى منشأة أخرى، وبأسماء الموظفين الذين تم فصلهم من العمل بسبب الإصابة، وبأسماء الموظفين الذين تم تعويضهم عن الإصابة، وبأسماء الموظفين الذين تم تعويضهم عن الإصابة ثم عادوا إلى العمل، وبأسماء الموظفين الذين تم","الإجابة: تطرق نظام العمل إلى عدة مواد تهتم بتعزيز السلامة والصحة المهنية، ومن ضمنها المادة رقم 121 التي تنص على: ""على صاحب العمل حفظ المنشأة في حالة صحية ونظيفة، وإنارتها وتأمين المياه الصالحة للشرب والاغتسال، وغير ذلك من قواعد الحماية والسلامة والصحة المهنية وإجراءاتها ومستوياتها وفقاً لما يحدده الوزير بقرار منه."""
ما المقصود بعقد العمل في نظام العمل؟,50,0,0,0,0,عقد العمل هو كل عقد يلتزم بمقتضاه العامل بالعمل لصالح صاحب العمل وتحت إدارته مقابل أجر. المادة (50) من نظام العمل السعودي.,المقصود بعقد العمل في نظام العمل هو العقد المبرم بين صاحب عمل وعامل، يتعهد الأخير بموجبه أن يعمل تحت إدارة صاحب العمل أو إشرافه مقابل أجر، وذلك وفقًا للمادة الخمسين (50) من نظام العمل السعودي.
ما التزامات العامل في نظام العمل؟,65,0,1,1,1,"التزامات العامل في نظام العمل السعودي تشمل ما نصت عليه المادة 61 من نظام العمل، حيث ألزمت العامل بعدة أمور، منها:

1. **الالتزام بأداء العمل بنفسه**: يجب على العامل أن يؤدي عمله بنفسه، ولا يمكنه تفويض غيره في أداء العمل.
2. **الالتزام بالأداء الجيد للعمل**: يجب على العامل أن يؤدي عمله بكفاءة ودقة، وفقًا للمعايير المحددة من قبل صاحب العمل.
3. **الالتزام بعدم إفشاء أسرار العمل**: يجب على العامل أن يحافظ على أسرار العمل وعدم إفشائها لأي طرف خارجي، وذلك وفقًا لما نصت عليه المادة 68 من نظام العمل.
4. **الالتزام بعدم العمل لدى صاحب عمل آخر**: يجب على العامل أن لا يعمل لدى صاحب عمل آخر أثناء فترة سريان عقده، وفقًا لما نصت عليه المادة 2 من","التزامات العامل في نظام العمل تشمل:
- المادة 65: يجب على العامل أن ينجز العمل وفقاً لأصول المهنة ووفق تعليمات صاحب العمل، وأن يعتني عناية كافية بالآلات والأدوات والمهمات والخامات المملوكة لصاحب العمل، وأن يعيد إلى صاحب العمل المواد غير المستهلكة. كما يجب عليه الالتزام بحسن السلوك والأخلاق أثناء العمل، وتقديم كل عون ومساعدة دون أن يشترط لذلك أجراً إضافياً في حالات الكوارث والأخطار التي تهدد سلامة مكان العمل أو الأشخاص العاملين فيه.
- المادة 64: يلتزم صاحب العمل عند انتهاء عقد العمل بإعطاء العامل شهادة خدمة دون مقابل، وإعادة جميع ما أودعه لديه من شهادات أو وثائق.
- المادة 83: إذا كان العمل المنوط بالعامل يسمح له بمعرفة عملاء صاحب العمل، أو الاطلاع على أسرار عمله، جاز لصاحب العمل أن يشترط على"
ما حقوق العاملة في إجازة الوضع؟,151,0,1,0,0,"الإجابة:
حقوق العاملة في إجازة الوضع وفقًا لنظام العمل السعودي هي:

1. تستحق العاملة إجازة وضع بأجر كامل لمدة 3 أشهر بعد الوضع، وذلك وفقًا للمادة 155 من نظام العمل.
2. يمكن تمديد الإجازة لمدة شهر واحد دون أجر، وفقًا لنفس المادة.

لذا، فإن المواد ذات الصلة في نظام العمل السعودي هي المادة 155 والمادة 165.",الإجابة: للمرأة العاملة الحق في إجازة وضع بأجر كامل لمدة عشرة أسابيع توزعها كيف تشاء؛ تبدأ بحدٍّ أقصى بأربعة أسابيع قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية. (رقم المادة: 151)
هل يستحق العامل أجرًا عن أيام الإجازة غير المستخدمة عند انتهاء العمل؟,111,1,0,1,0,يستحق العامل أجرًا عن أيام الإجازة غير المستخدمة وفق المادة 111 من نظام العمل السعودي.,يستحق العامل عن أيام الإجازة غير المستخدمة عند انتهاء العمل، وذلك بالنسبة إلى المدة التي لم يحصل على إجازته عنها، كما يستحق أجرة الإجازة عن أجزاء السنة بنسبة ما قضاه منها في العمل. المادة 111 من نظام العمل السعودي.
ما حالات انتهاء عقد العمل؟,74,1,1,0,0,"حالات انتهاء عقد العمل وفقًا لنظام العمل السعودي هي:

1. الاستقالة: المادة 74.
2. الفصل من العمل: المادة 77.
3. بلوغ سن التقاعد: المادة 205.
4. الوفاة: لا يوجد مادة محددة.
5. العجز الكلي: المادة 29.
6. إنهاء العقد غير محدد المدة: المادة 55.","الإجابة: ينتهي عقد العمل في الحالات التالية: إذا اتفق الطرفان على إنهائه بشرط أن تكون موافقة العامل كتابية، إذا انتهت المدة المحددة في العقد ما لم يكن العقد قد تجدد صراحة وفق أحكام النظام، بناءً على إرادة أحد الطرفين في العقود غير المحددة المدة، بلوغ العامل سن التقاعد وفق ما تقضي به أحكام نظام التأمينات الاجتماعية، القوة القاهرة، إغلاق المنشأة نهائياً، إنهاء النشاط الذي يعمل فيه العامل إلا إذا اتفق الطرفان على الاستمرار في العمل، أي حالة أخرى ينص عليها نظام آخر.

رقم المادة: 74"
متى يجوز للعامل ترك العمل دون إشعار مع احتفاظه بحقوقه؟,81,0,1,0,0,يجوز للعامل ترك العمل دون إشعار مع احتفاظه بحقوقه كاملة في الحالات التالية: المادة 119 من نظام العمل السعودي.,"يحق للعامل أن يترك العمل دون إشعار مع احتفاظه بحقوقه النظامية كلها في حالات معينة، وذلك بحسب ما نصت عليه المادة ""81"" من نظام العمل السعودي."
ما واجبات صاحب العمل تجاه العامل؟,61,1,1,0,0,"واجبات صاحب العمل تجاه العامل تشمل ما نص عليه نظام العمل السعودي في المادة 60 والمادة 61. 

المادة 60: على صاحب العمل أن يدفع إلى العامل أجوره في مواعيدها المحددة، ولا يجوز تأخيرها.

المادة 61: لصاحب العمل أن يقتطع من أجر العامل المبالغ المتبقية له لدى الغير، وذلك بمقدار ما يستحقه صاحب العمل على العامل.",الإجابة: يجب على صاحب العمل ما يأتي: أن يمتنع عن تشغيل العامل سخرة، وألا يحتجز دون سند قضائي أجر العامل أو جزءاً منه، وأن يعامل عماله بالإحترام اللائق، وأن يمتنع عن كل قول أو فعل يمس كرامتهم ودينهم. أن يعطي العمال الوقت اللازم لممارسة حقوقهم المنصوص عليها في هذا النظام دون تنزيل من الأجور لقاء هذا الوقت، وله أن ينظم ممارسة هذا الحق بصورة لا تخل بسير العمل. أن يسهل لموظفي الجهات المختصة كل مهمة تتعلق بتطبيق أحكام هذا النظام. أن يمتنع عن القيام بكل ما من شأنه إبطال أو إضعاف تطبيق تكافؤ الفرص أو المعاملة في الاستخدام والمهنة، سواء من خلال الاستبعاد أو التفريق أو التفضيل بين المتقدمين للعمل أو العاملين لديه على أساس العرق أو اللون أو الجنس أو السن أو الإعاقة أو الحالة الاجتماعية أو أي شكل من أشكال التمييز الأخرى. أن
متى تزيد الإجازة السنوية إلى ثلاثين يومًا؟,109,0,0,0,0,تزيد الإجازة السنوية إلى ثلاثين يومًا إذا أمضى العامل في خدمة صاحب العمل خمس سنوات متصلة. المادة (109) من نظام العمل السعودي.,الإجابة: تُزاد الإجازة السنوية إلى ثلاثين يومًا إذا أمضى العامل في خدمة صاحب العمل خمس سنوات متصلة، وذلك وفقًا للمادة 109 من نظام العمل السعودي.
