eval_id,eval_type,diagnostic_method,question,gold_article_numbers,parsed_gold_articles,original_top5_article_numbers,parsed_top5_article_numbers,full_hit_at_1,full_hit_at_3,full_hit_at_5,full_rr,full_ndcg_at_5,diagnostic_hit_at_1,diagnostic_hit_at_3,diagnostic_hit_at_5,diagnostic_rr,diagnostic_ndcg_at_5,diagnostic_first_match_rank,latency_sec
FAQ_INDEXED_RETRIEVAL_0001,faq_paraphrase_retrieval,full_corpus_reference_for_faq,ما طريقة يمكنني إلغاء أو تعديل طلب تغيير المهنة؟,,,nan|nan|nan|nan|235.0,235,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,1.3764739036560059
FAQ_INDEXED_RETRIEVAL_0002,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة الطريقة المتبعة لتسديد قسط التأمين؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.33517026901245117
FAQ_INDEXED_RETRIEVAL_0003,faq_paraphrase_retrieval,full_corpus_reference_for_faq,ما طريقةية معاملة محرم الموظفة عند مرافقتها أثناء ابتعاثها للدراسة أو التدريب أو ايفادها للدراسة في الداخل أو انتدابها؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3402726650238037
FAQ_INDEXED_RETRIEVAL_0004,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ماهي أهداف برنامج نطاقات المطور؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3091437816619873
FAQ_INDEXED_RETRIEVAL_0005,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى إمكانية الجمع بين بدل المهنة المنصوص عليه في المادة (51) من لائحة الحقوق والمزايا المالية وبين مكافأة التدريب التي تصرف بموجب المادة (249) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.36617040634155273
FAQ_INDEXED_RETRIEVAL_0006,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: موظف أحيل للتحقيق أثناء إجراء المفاضلة لغرض الترقية ثم صدر حكم ديوان المظالم بعدم ادانته بما نسب إليه فهل يمكن النظر في ترقيته؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.34891557693481445
FAQ_INDEXED_RETRIEVAL_0007,faq_paraphrase_retrieval,full_corpus_reference_for_faq,ما طريقة يتم احتساب أجر الساعات الإضافية؟,,,nan|107.0|nan|nan|nan,107,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.30056333541870117
FAQ_INDEXED_RETRIEVAL_0008,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل مسموح تعيين العمال بصفة مؤقتة طبقاً للائحة المعينين على بند الأجور؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3316037654876709
FAQ_INDEXED_RETRIEVAL_0009,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل يستطيع احتساب أيام المراجعة للمستشفيات داخل مقر العمل أو خارجه إجازة مرضية أو إجازة مرفقة؟,,,nan|nan|117.0|nan|nan,117,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3385653495788574
FAQ_INDEXED_RETRIEVAL_0010,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: اعرف حقوق العمال؟,,,nan|18.0|7.0|nan|81.0,18|7|81,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3228938579559326
FAQ_INDEXED_RETRIEVAL_0011,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: في حال تم رصد مخالفات في ملف الأجور، أين أجد تفاصيل المخالفة وتنبيهات السجلات؟,,,nan|nan|71.0|nan|nan,71,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3373863697052002
FAQ_INDEXED_RETRIEVAL_0012,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما المقصود من كون عمال المستشفيات ضمن المساعدين الفنيين ومن هم عمال المستشفيات الذين يندرجون تحت هذه المجموعة؟,,,nan|7.0|11.0|nan|nan,7|11,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3574848175048828
FAQ_INDEXED_RETRIEVAL_0013,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: موظف قدم للرياض للالتحاق بدورة تدريبية وبعد انتهاء الفترة التدريبية عاد إلى مقر عمله الأصلي وفي أثناء الطريق حصل عليه حادث توفي بسببه، هل يستحق ورثته التعويض المنصوص عليه بالمادة (35) من لائحة الحقوق والمزايا المالية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3811337947845459
FAQ_INDEXED_RETRIEVAL_0014,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان يخصم بدل المواصلات من راتب الإجازة السنوية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3303391933441162
FAQ_INDEXED_RETRIEVAL_0015,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: موظف استقال من وظيفة بالمرتبة الرابعة ومن ثم عاد للخدمة على المرتبة الخامسة بعد نجاحه في المسابقة، ما مدى إمكانية احتفاظه بما كان يتقاضاه من راتب حين كان يشغل المرتبة الرابعة؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.35555171966552734
FAQ_INDEXED_RETRIEVAL_0016,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة عقد العمل؟,,,nan|nan|nan|50.0|83.0,50|83,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.2994682788848877
FAQ_INDEXED_RETRIEVAL_0017,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان تحسم رواتب العطل الرسمية والأعياد إذا سبقها غياب ولحقها غياب على ضوء تعميم وزارة الخدمة المدنية رقم 33708/15 وتاريخ 23/12/1410هـ؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3564419746398926
FAQ_INDEXED_RETRIEVAL_0018,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة العمل المرن؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3156139850616455
FAQ_INDEXED_RETRIEVAL_0019,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى جواز منح الموظف المنقول بترقية الدرجة الإضافية المنصوص عليها بالمادة (18/ب) من نظام الخدمة المدنية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3437035083770752
FAQ_INDEXED_RETRIEVAL_0020,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: في حالة غياب الموظف عن العمل وإيقاع عقوبة تأديبية عليه بسبب ذلك فهل تحتسب أيام الغياب التي عوقب عنها ضمن أيام الغياب التي يجوز للإدارة طي قيد الموظف وفقاً للمادة (226) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3787209987640381
FAQ_INDEXED_RETRIEVAL_0021,faq_paraphrase_retrieval,full_corpus_reference_for_faq,"ما طريقة يتم طلب المدرب الاختياري قبل التقدم بطلب شهادة ""مواءمة""؟",,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3108236789703369
FAQ_INDEXED_RETRIEVAL_0022,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل مسموح نظاماً للعامل الانتقال من منشأة في النطاق الأحمر بدون إذن صاحب العمل إلى منشأة لم تدخل في النطاقات (أقل من 10 عمال)؟,,,nan|58.0|nan|nan|nan,58,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3510317802429199
FAQ_INDEXED_RETRIEVAL_0023,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى امكانية ابتعاث أوايفاد العامل المعين على بند الأجور للدراسة؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3419020175933838
FAQ_INDEXED_RETRIEVAL_0024,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل مسموح منح الموظف أثناء فترة التجربة إجازة استثنائية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.31054210662841797
FAQ_INDEXED_RETRIEVAL_0025,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى إلزام الموظف بالعمل خارج وقت الدوام، وهل يعتبر امتناعه عنه مخالفة إدارية تخل بواجبات وظيفته؟,,,nan|nan|60.0|6.0|nan,60|6,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.36087489128112793
FAQ_INDEXED_RETRIEVAL_0026,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى انطباق المزايا المالية التي تصرف للمشاركين في أعمال الحج على العمال المعينين على بند الأجور؟,,,nan|nan|nan|nan|114.0,114,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.33584046363830566
FAQ_INDEXED_RETRIEVAL_0027,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان أستطيع رفع ملفات حماية الأجور عبر موقع وزارة الموارد البشرية والتنمية الاجتماعية للخدمات الإلكترونية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.33893585205078125
FAQ_INDEXED_RETRIEVAL_0028,faq_paraphrase_retrieval,full_corpus_reference_for_faq,"أريد معرفة الرسوم المطلوبة من المنشآت في برنامج ""مواءمة""؟",,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3091623783111572
FAQ_INDEXED_RETRIEVAL_0029,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان يتم إضافة البيانات التي تملكها الوزارة في الأصل للحقول المناسبة دون الحاجة الى إدخالها من المستخدم (إعادة استخدام البيانات)؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3572549819946289
FAQ_INDEXED_RETRIEVAL_0030,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ماهي الحقوق والواجبات العامة للمرأة العاملة؟,,,nan|nan|7.0|151.0|154.0,7|151|154,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3432750701904297
FAQ_INDEXED_RETRIEVAL_0031,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة خدمة نقل الموظفين؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.2656846046447754
FAQ_INDEXED_RETRIEVAL_0032,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان ينطبق الشرط الجزائي على العامل أو صاحب العمل؟,,,nan|nan|nan|66.0|83.0,66|83,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.32887911796569824
FAQ_INDEXED_RETRIEVAL_0033,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة شروط الخدمة؟,,,nan|nan|nan|109.0|95.0,109|95,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.27410292625427246
FAQ_INDEXED_RETRIEVAL_0034,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة خدمات مبادرة تحسين العلاقة التعاقدية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.2911956310272217
FAQ_INDEXED_RETRIEVAL_0035,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: إذا التحق الموظف بالتدريب أثناء إجازته الاستثنائية فهل يقبل هذا التدريب للأغراض الوظيفية ويستحق عنه المزايا المالية المقررة؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.33881139755249023
FAQ_INDEXED_RETRIEVAL_0036,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان بإمكاني تعيين أي موظف لدي وإعطاءه صلاحية مفوض رواتب أو مدقق رواتب؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3344404697418213
FAQ_INDEXED_RETRIEVAL_0037,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى استحقاق الموظف المتدرب الذي انقطع أثناء فترة التدريب للمكافأة المقررة بموجب اللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3482666015625
FAQ_INDEXED_RETRIEVAL_0038,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان يطالب المستخدم المثبت على وظيفة مشمولة بسلم رواتب الموظفين العام بموجب الأمر السامي رقم (8442/م ب) وتاريخ 25/6/1426هـ بسنة تجربة جديدة؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.36209630966186523
FAQ_INDEXED_RETRIEVAL_0039,faq_paraphrase_retrieval,full_corpus_reference_for_faq,ما طريقة أعرف ما إذا كانت منشأتي ملزمة بتطبيق برنامج حماية الأجور؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.33272266387939453
FAQ_INDEXED_RETRIEVAL_0040,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة برنامج نطاقات؟ وكيف يحسن بيئة العمل للسعوديين؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.30899739265441895
FAQ_INDEXED_RETRIEVAL_0041,faq_paraphrase_retrieval,full_corpus_reference_for_faq,"أريد توضيح الحكم النظامي بخصوص: لماذا توجد رسوم مالية على برنامج ""مواءمة""؟ وهل تعود لوزارة الموارد البشرية والتنمية الاجتماعية؟",,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3460817337036133
FAQ_INDEXED_RETRIEVAL_0042,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل مسموح نقل العامل المعين على بند الأجور إلى إحدى الجهات الحكومية مع الاحتفاظ براتبه؟,,,nan|nan|59.0|nan|nan,59,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.31697583198547363
FAQ_INDEXED_RETRIEVAL_0043,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان يحسب برنامج نطاقات من لديهم وظائف رسمية في الحكومة ودوام جزئي في قطاع آخر؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.34541749954223633
FAQ_INDEXED_RETRIEVAL_0044,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ماهي آلية الترشيح للمرشحين؟,,,nan|28.0|25.0|22.0|30.0,28|25|22|30,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.31659507751464844
FAQ_INDEXED_RETRIEVAL_0045,faq_paraphrase_retrieval,full_corpus_reference_for_faq,ما طريقة يمكن للمستفيد (المؤمن له) معرفة اسم شركة التأمين التابع لها؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3213691711425781
FAQ_INDEXED_RETRIEVAL_0046,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة إجراءات الانتقال خلال السنة الأولى في الحالات الاستثنائية؟,,,nan|nan|58.0|nan|nan,58,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.2780416011810303
FAQ_INDEXED_RETRIEVAL_0047,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان تمكن البوابة والانظمة التابعة لها المستخدم من تخصيص الخدمات واضافة الخدمات المفضلة على صفحة المستخدم؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.32279109954833984
FAQ_INDEXED_RETRIEVAL_0048,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان بإمكان أي موظف في منشأتي أن يسجل في منصة مُدد ويقوم برفع ملف حماية الأجور؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.342787504196167
FAQ_INDEXED_RETRIEVAL_0049,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى أحقية المعين على بند الأجور المكلف بالعمل الإضافي لبدل النقل الإضافي؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3311581611633301
FAQ_INDEXED_RETRIEVAL_0050,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان تسري على شاغلي الوظائف المؤقتة القواعد الواردة في نظام الخدمة المدنية ولوائحه التنفيذية التي تحظر على الموظفين الاشتغال بالتجارة؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.35218262672424316
FAQ_INDEXED_RETRIEVAL_0051,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: كتابة العقد؟,,,51.0|nan|nan|nan|74.0,51|74,0,1,1,0.5,0.6309297535714575,0,1,1,0.5,0.6309297535714575,,0.2970590591430664
FAQ_INDEXED_RETRIEVAL_0052,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان يترتب على العامل الوافد دفع أي رسوم حكومية (رخصة العمل – الإقامة - رسوم الخدمة) عند طلب الانتقال؟,,,nan|nan|nan|40.0|nan,40,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.29671740531921387
FAQ_INDEXED_RETRIEVAL_0053,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: موظف منح إجازة عادية تنتهي مع ابتداء عطلة أحد العيدين ثم تقدم بطلب إجازة لمدة شهر تبدأ من انتهاء العطلة. هل يعتبر ذلك تمديداً ومن ثم تحتسب عليه العطلة؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.34224438667297363
FAQ_INDEXED_RETRIEVAL_0054,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل يستطيع للمستخدمين الوصول إلى قائمة عملياته او معاملاته السابقة في البوابة؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.31290364265441895
FAQ_INDEXED_RETRIEVAL_0055,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ماهي خدمة الخروج النهائي؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3106093406677246
FAQ_INDEXED_RETRIEVAL_0056,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما الفرق بين المهنة والمسمى الوظيفي؟,,,nan|2.0|95.0|23.0|38.0,2|95|23|38,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.32393455505371094
FAQ_INDEXED_RETRIEVAL_0057,faq_paraphrase_retrieval,full_corpus_reference_for_faq,ما طريقة يمكن التوفيق بين نصي المادتين (132) و (147) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية، حيث تم تحديد سقف التمتع بالإجازة العادية (108) يوماً او (144) يوماً بحسب الأحوال في حين أن إجازة المرافقة قد تستغرق وقتاً أطول من ذلك؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.37444567680358887
FAQ_INDEXED_RETRIEVAL_0058,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل يستطيع أن يتغير انطاق المنشأة دون تغيير في عدد العمالة خلال السنوات القادمة؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.31302475929260254
FAQ_INDEXED_RETRIEVAL_0059,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: لماذا يتوجب على المنشأة القيام بالتقيّيم الذاتي؟,,,nan|nan|16.0|7.0|19.0,16|7|19,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.34648942947387695
FAQ_INDEXED_RETRIEVAL_0060,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل مسموح انهاء عقد العمل بسبب إعادة الهيكلة أو الظروف المالية للمنشأة؟,,,nan|nan|74.0|18.0|nan,74|18,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.33796095848083496
FAQ_INDEXED_RETRIEVAL_0061,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان تشمل إجازة أداء الامتحان الدراسي من يؤدي الامتحان خارج المملكة؟,,,nan|nan|115.0|nan|nan,115,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.28386998176574707
FAQ_INDEXED_RETRIEVAL_0062,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: موظف قررت الهيئة الطبية العامة معالجته في الداخل في بلد غير البلد الذي يعمل به ما مدى استحقاقه لتذاكر الأركاب كلما راجع المستشفى؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3388180732727051
FAQ_INDEXED_RETRIEVAL_0063,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان الخدمة تتيح تحديث بيانات العامل؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3029494285583496
FAQ_INDEXED_RETRIEVAL_0064,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ماهي الآلية لرفع نسب نطاقات تدريجيا؟ وكم هي المدة اللازمة لذلك؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.34073758125305176
FAQ_INDEXED_RETRIEVAL_0065,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل يستطيع حفظ معاملة لخدمة معينة تم بدؤها من خلال البوابة والوصول إليها لاحقًا؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3204176425933838
FAQ_INDEXED_RETRIEVAL_0066,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى إمكانية احتفاظ العامل المعين على بند الأجور براتبه عند تعيينه على وظيفة مشمولة بنظام الخدمة المدنية ولوائحه التنفيذية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.34779953956604004
FAQ_INDEXED_RETRIEVAL_0067,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: موظف فصل من الخدمة بناءً على حكم نهائي من ديوان المظالم بإدانته بجريمة التزوير والحكم عليه بالسجن والغرامة، فهل يتأثر قرار الفصل بقبول ديوان المظالم لطلب إعادة النظر في الحكم النهائي؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3550851345062256
FAQ_INDEXED_RETRIEVAL_0068,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان يشمل برنامج نطاقات المستثمر الأجنبي؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3056192398071289
FAQ_INDEXED_RETRIEVAL_0069,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: الفئات المشمولة بقرار الالزام بالتأمين على عقد العمالة المنزلية؟,,,nan|7.0|nan|nan|nan,7,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.34754395484924316
FAQ_INDEXED_RETRIEVAL_0070,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل يستطيع تفعيل بند التنافسية في عقد العمل؟,,,nan|61.0|51.0|52.0|8.0,61|51|52|8,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.2810511589050293
FAQ_INDEXED_RETRIEVAL_0071,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ماهي الإجازات المستحقة للمرأة العاملة؟,,,nan|151.0|157.0|154.0|160.0,151|157|154|160,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.32884645462036133
FAQ_INDEXED_RETRIEVAL_0072,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة الاجراء الذي سيتم تطبيقه في حال عدم التزام المنشأة بنسب نطاقات؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.33727335929870605
FAQ_INDEXED_RETRIEVAL_0073,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى جواز إجبار الموظف على التمتع بإجازاته العادية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.34162282943725586
